reservoir,metric_slug,metric_label,parameter_group,unit,year,month,ano_mes,monthly_mean,monthly_median,monthly_min,monthly_max,point_count
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,1,2023-01,6476.573028,3275.08,-51735.99,77603.98,743
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,2,2023-02,4318.480313,0.0,-54003.89,78694.14,672
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,3,2023-03,4080.935424,0.0,-350161.87,397922.13,743
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,4,2023-04,5452.420142,265.39,-38336.9,69629.93,704
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,5,2023-05,2777.739664,0.0,-403853.94,403853.94,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,6,2023-06,3338.656155,0.0,-436520.0,443361.87,684
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,7,2023-07,1757.723069,0.0,-43294.02,101263.04,743
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,8,2023-08,2135.133387,0.0,-87331.05,108085.83,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,9,2023-09,1597.596736,0.0,-610049.92,623083.86,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,10,2023-10,763.519194,0.0,-324784.05,343168.15,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,11,2023-11,879.129694,0.0,-30035.12,42049.17,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2023,12,2023-12,2703.968562,0.0,-36487.11,64734.96,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,1,2024-01,8788.61547,3123.935,-32335.17,138666.92,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,2,2024-02,5060.686115,3043.06,-673199.96,684318.08,695
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,3,2024-03,6631.959906,4096.15,-55703.94,68369.9,741
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,4,2024-04,3634.731952,1007.885,-84588.87,68420.05,712
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,5,2024-05,4255.949073,0.0,-155649.04,171050.12,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,6,2024-06,1695.125139,0.0,-51953.17,190605.97,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,7,2024-07,1536.883548,0.0,-49613.93,88970.01,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,8,2024-08,1493.103185,0.0,-52351.87,53370.0,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,9,2024-09,6680.383681,0.0,-51835.93,186957.96,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,10,2024-10,1570.837272,0.0,-43046.11,67090.1,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,11,2024-11,1501.602097,0.0,-38407.17,51388.84,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2024,12,2024-12,3538.981089,0.0,-38248.96,93375.16,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,1,2025-01,3101.031022,0.0,-45269.16,56066.98,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,2,2025-02,4381.389762,0.0,-646699.83,118952.16,672
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,3,2025-03,3235.025202,0.0,-63164.17,67090.1,742
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,4,2025-04,3368.001347,0.0,-100635.15,84695.17,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,5,2025-05,4063.447567,0.0,-54735.97,68420.05,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,6,2025-06,2064.891153,0.0,-84118.83,65457.15,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,7,2025-07,1592.655363,0.0,-660000.04,684318.08,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,8,2025-08,3021.618333,0.0,-646699.83,646800.13,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,9,2025-09,1648.55525,0.0,-1894684.14,2002244.13,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,10,2025-10,1219.62711,0.0,-37985.16,48803.1,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,11,2025-11,1146.233708,0.0,-42133.93,38682.98,720
Hartwell,inflow_cfs,Inflow,Flow,cfs,2025,12,2025-12,1592.425161,0.0,-187805.16,186499.93,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2026,1,2026-01,2495.464005,0.0,-84097.99,62732.97,744
Hartwell,inflow_cfs,Inflow,Flow,cfs,2026,2,2026-02,2538.650104,0.0,-30035.12,47462.91,672
Hartwell,inflow_cfs,Inflow,Flow,cfs,2026,3,2026-03,2167.047264,0.0,-44104.13,42049.17,742
Hartwell,inflow_cfs,Inflow,Flow,cfs,2026,4,2026-04,2601.72788,0.0,-18021.07,32637.11,184
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,1,2023-01,5267.68895,2674.03,0.0,24497.08,743
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,2,2023-02,3154.778914,0.0,0.0,24518.97,672
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,3,2023-03,3070.164105,0.0,-2836.12,24200.08,743
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,4,2023-04,3358.340156,0.0,-2557.14,18829.07,704
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,5,2023-05,4156.460067,0.0,-2561.02,23707.09,744
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,6,2023-06,3866.929123,0.0,-2840.01,23642.11,684
Hartwell,outflow_cfs,Outflow,Flow,cfs,2023,7,2023-07,3451.185505,0.0,-2840.01,24643.99,743
