facility_name,facility_type,latitude,longitude,huc8,river_segment,permit_status,primary_sic_code,parameter_groups,parameter_groups_available,manganese_parameter_flag,compliance_violation_flag,data_year_start,data_year_end,npdes_ids,compliance_status,cwa_compliance_status,significant_violation_flag,quarters_with_noncompliance_3y,inspection_count_5y,formal_enforcement_actions_5y,permit_type_label,facility_city,facility_state,facility_county,registry_id,active_flag,source_notes
102 SINGLETON STREET AND 301 STONE CIRCLE,industrial,34.667324,-82.815781,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZEA3,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CLEMSON,SC,PICKENS COUNTY,110071914246,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
1396 TIGER BOULEVARD LLC,industrial,34.68725,-82.81731,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZC8H,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CLEMSON,SC,PICKENS COUNTY,110071934202,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
2022-054 ATI SENECA,industrial,34.696944,-82.880833,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZBQU,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,,SC,OCONEE COUNTY,110071912765,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
205 & 207 LIGON ST DEVELOPMENT,industrial,34.66675,-82.81972,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZCKP,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CLEMSON,SC,PICKENS COUNTY,110071915779,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
2057 BLACK OAK DRIVE,municipal,35.11784,-82.99859,03060101,Seneca,No Violation Identified,4952,[],0,0,0,2023,2026,NCG550415,No Violation Identified,No Violation Identified,0,0,2,0,Non-M,SAPPHIRE,NC,JACKSON COUNTY,110006804404,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
3481 SIX MILE HWY,industrial,34.778397,-82.828663,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZK64,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CENTRAL;,SC,PICKENS COUNTY,110072132378,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
398 COLLEGE AVE,industrial,34.686375,-82.835708,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZK4T,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CLEMSON,SC,PICKENS COUNTY,110072129477,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
4105 LIBERTY HIGHWAY LLC,industrial,34.690439,-82.988948,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10Z8UP,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,SENECA,SC,OCONEE COUNTY,110071926478,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
412 COLLEGE AVENUE MIXED USE,industrial,34.68752,-82.83549,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZF7S,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CLEMSON,SC,PICKENS COUNTY,110071925736,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"42769- ANDERSON, SC",industrial,34.577,-82.7142,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZJ6S,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ABBEVILLE COUNTY,110072002458,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
5.0 MG GROUND STORAGE TANK,industrial,34.580328,-82.720521,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZFYH,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110071922262,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
508 TARRANT ST.,industrial,34.72527,-82.77388,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZCY3,No Violation Identified,No Violation Identified,0,0,2,0,Non-M,CENTRAL,SC,PICKENS COUNTY,110071930839,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
51 TECHNOLOGY SITE GRADING,industrial,34.58646,-82.81391,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZK5A,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110072134278,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
6-INCH WATERLINE REPLACEMENT TO SERVE THE ONS SITE,industrial,34.790556,-82.892222,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZD9C,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,,SC,OCONEE COUNTY,110071912328,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"804 S MECHANIC STREET LOTS 4A-4D, 5A-5D, & 6A-6D",industrial,34.662652,-82.79225,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZENY,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,PENDLETON,SC,ANDERSON COUNTY,110071913495,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
804 S MECHANICS ST,industrial,34.662652,-82.79225,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZA9B,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,PENDLETON,SC,ANDERSON COUNTY,110071934337,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
83 CAREFREE CIRCLE,municipal,35.11329,-83.05101,03060101,Seneca,No Violation Identified,4952,[],0,0,0,2023,2026,NCG551100,No Violation Identified,No Violation Identified,0,0,2,0,Non-M,SAPPHIRE,NC,JACKSON COUNTY,110009846701,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ABSOLUTE CLIMATE STORAGE,industrial,34.56382,-82.70388,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZGC4,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110071921374,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ACCESS RAMP AT WITTY ADKINS WATER TREATMENT PLANT,municipal,34.83053,-82.86224,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZCNM,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,,SC,PICKENS COUNTY,110071926292,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ACCU PAD INCORPORATED,industrial,34.59699,-82.66518,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCRNE1108,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110071949502,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ADAMS - ANDERSON,industrial,34.549461,-82.709042,03060101,Seneca,Terminated Permit,,[],0,0,0,2023,2026,SCR005392,,Terminated Permit,0,0,1,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110071438236,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"ADKINS 60"" POTABLE WATER TRANSMISSION MAIN",industrial,34.829722,-82.860556,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZE3R,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,SIX MILE,SC,PICKENS COUNTY,110071917031,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ADVANCE AUTO PARTS - PENDLETON,industrial,34.623056,-82.778333,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZDQV,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,PENDLETON,SC,ANDERSON COUNTY,110071919670,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
AIRY SPRINGS,industrial,34.721667,-83.056389,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZAY0,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,,SC,WILLIAMSBURG COUNTY,110071910787,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ALICE MANUFACTURING ELLJEAN,industrial,34.85695,-82.64354,03060101,Seneca,No Violation Identified,2211,[],0,0,0,2023,2026,SC0000370 SCG570028,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,EASLEY,SC,PICKENS COUNTY,110001667722,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ALPINE HEIGHTS SUBDIVISION,industrial,34.548889,-82.740278,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZF41,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ANDERSON,SC,ANDERSON COUNTY,110071919854,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
ALYS MILL,industrial,34.84419,-82.64201,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR10ZD3L,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,,SC,PICKENS COUNTY,110071917467,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
AMERIBULK TRANSPORT LLC,industrial,34.58531,-82.71058,03060101,Seneca,No Violation Identified,,[],0,0,0,2023,2026,SCR006643,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,PENDLETON,SC,ANDERSON COUNTY,110071952120,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
