site_label,site_no,site_name,reach,series_slug,series_label,parameter_group,parameter_code,variable_name,statistic,unit,month,climatology_mean,climatology_min,climatology_max,year_count
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,1,10750.562176,3412.688172,34781.318681,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,2,9939.543406,4018.214286,27806.896552,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,3,9252.411674,4032.365591,25896.774194,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,4,8154.332371,3735.111111,18616.666667,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,5,6836.903226,3494.301075,14034.83871,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,6,6306.262988,3743.666667,13930.555556,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,7,6670.914039,3901.505376,24483.655914,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,8,6656.314876,3838.064516,13211.935484,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,9,5590.640956,3907.111111,10569.0,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,10,5272.658888,4062.903226,13040.0,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,11,7142.080608,3642.777778,19670.555556,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_flow_cfs,Augusta discharge,Flow,00060,"Streamflow, ft³/s",Mean,ft3/s,12,8453.569489,3539.354839,27498.924731,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,1,88.74825,2.092473,116.226222,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,2,88.677052,2.731954,113.862069,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,3,88.062627,2.795914,113.034839,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,4,87.296343,2.028778,107.925,21
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,5,85.538143,1.389677,105.483871,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,6,85.153453,1.277333,104.826667,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,7,85.308311,1.224301,111.882043,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,8,85.53486,1.12086,107.475376,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,9,84.176093,1.215,102.575333,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,10,88.618016,1.533871,104.895161,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,11,90.071737,1.184368,109.409111,20
Augusta,02197000,"SAVANNAH RIVER AT AUGUSTA, GA",Savannah River at Augusta,augusta_stage_ft,Augusta stage,Stage,00065,"Gage height, ft",Mean,ft,12,91.175434,1.851111,113.330323,20
USACE Dock,021989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA","Savannah River at USACE dock, Savannah",dock_conductance_us_cm,Dock specific conductance,Specific conductance,00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25°C",Mean,uS/cm @25C,1,13660.610074,2816.634409,21775.268817,19
USACE Dock,021989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA","Savannah River at USACE dock, Savannah",dock_conductance_us_cm,Dock specific conductance,Specific conductance,00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25°C",Mean,uS/cm @25C,2,12381.093864,3170.654762,21694.047619,19
USACE Dock,021989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA","Savannah River at USACE dock, Savannah",dock_conductance_us_cm,Dock specific conductance,Specific conductance,00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25°C",Mean,uS/cm @25C,3,12559.649123,2370.204301,20343.548387,19
USACE Dock,021989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA","Savannah River at USACE dock, Savannah",dock_conductance_us_cm,Dock specific conductance,Specific conductance,00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25°C",Mean,uS/cm @25C,4,12497.529435,6575.711111,21948.148148,19
