site,depth,latitude,longitude,clay_pct,silt_pct,sand_pct,fine_fraction_pct,water_pct,d10,d50,d90,valid_grain_order,fe_ppm,mn_ppm,carbon_pct,ph,do_pct,cond
1,28.0,33.715568,-82.250964,42.9,57.0,0.2,99.9,77.28794642857143,0.925,5.009,22.21,1,85781.23,2323.32,2.77128958451421,,94.1,
2,30.0,33.693165,-82.243759,34.5,59.6,6.0,94.1,36.43724696356275,1.406,7.198,46.86,1,30993.01,2729.77,1.56219866793942,,93.3,
3,32.0,33.674843,-82.234175,50.2,49.7,0.3,99.9,78.97503285151116,0.746,3.878,20.55,1,99537.98,2596.71,3.11205305305647,7.49,96.3,56.3
4,30.0,33.675674,-82.220154,42.8,55.6,1.6,98.4,77.91313559322035,0.819,5.145,30.37,1,98957.07,2897.44,3.02038426758324,7.82,94.4,56.1
5,21.0,33.663384,-82.216124,60.3,39.8,0.0,100.1,76.28205128205127,0.61,2.797,15.33,1,68429.48,1019.58,2.38031678807746,7.89,96.8,56.1
6,36.0,33.669019,-82.196771,50.0,49.6,0.3,99.6,74.80457005411905,0.682,3.901,20.77,1,98759.42,4643.46,2.50272184776152,7.97,96.1,56.0
7,34.0,33.680048,-82.208856,54.5,45.4,0.0,99.9,73.71702637889688,0.697,3.392,15.69,1,90703.67,3882.9,2.55339826644755,8.18,96.8,56.2
8,17.0,33.694348,-82.216474,35.9,60.7,3.4,96.6,75.9765625,0.959,7.428,40.87,1,85950.38,1345.77,2.67178582488523,8.36,98.2,56.2
9,37.0,33.687512,-82.225752,53.6,46.5,0.0,100.1,74.98327759197323,0.718,3.507,14.64,1,105704.55,3779.28,2.78725613208388,8.56,98.3,56.3
10,26.0,33.676609,-82.24956,46.8,52.7,0.6,99.5,75.85139318885449,0.683,4.42,24.05,1,90688.96,1403.96,2.76091915038656,8.49,97.5,56.3
12,13.0,33.660155,-82.272611,42.9,55.5,1.6,98.4,72.11155378486055,0.758,5.313,30.68,1,41665.52,797.03,2.4279429091402,8.63,98.8,56.3
13,10.0,33.723406,-82.226169,32.4,64.7,3.0,97.1,44.77892756349953,1.425,8.165,41.08,1,56137.22,550.12,1.16593315781985,7.37,100.9,108.8
14,8.0,33.762727,-82.22545,27.3,72.7,0.0,100.0,63.903281519861835,1.612,8.038,25.39,1,47005.71,692.01,1.5792445086927,8.8,101.9,108.2
15,9.0,33.774548,-82.230376,32.6,67.4,0.0,100.0,69.48853615520282,1.352,6.646,1.352,0,54584.78,745.79,1.87518769889716,9.1,103.8,108.7
16,24.0,33.76237,-82.23867,39.8,60.3,0.0,100.1,69.14285714285714,1.047,5.323,17.92,1,68609.91,1228.48,1.88812675676479,9.55,102.1,108.7
19,13.0,33.746248,-82.263118,36.2,63.6,0.3,99.80000000000001,70.25934658134051,1.048,6.512,25.86,1,50615.16,1089.45,2.15977783444494,9.8,95.7,109.4
20,9.0,33.734357,-82.256677,25.6,55.6,4.1,81.2,56.68129238133227,1.551,11.08,44.7,1,43801.4,1044.35,2.47729759888477,9.76,97.1,108.8
21,29.0,33.688528,-82.262249,47.8,51.9,0.3,99.69999999999999,80.70429329474193,0.841,4.215,21.32,1,93302.8,1010.26,2.70925848007279,9.57,98.8,109.9
23,11.0,33.708875,-82.305079,36.8,62.5,0.7,99.3,71.72338884866039,1.097,6.173,24.15,1,49530.73,541.79,2.10978054778264,9.8,99.2,112.1
