record_level,source_category,facility_name,npdes_permit_no,receiving_stream,impacted_reach,listed_stream_segment,auid,bacterial_indicator,load_basis,load_value_counts_30days,load_value_expression,geometric_mean_limit_counts_per_100ml,reduction_required_text,source_document_year,source_document_section
segment,nonpoint,,,Saddle Gap Creek,Headwaters to Stekoa Creek,Saddle Gap Creek,GAR030601020212,E. coli,LA,40600000000.0,4.06E+10,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Saddle Gap Creek,Headwaters to Stekoa Creek,Saddle Gap Creek,GAR030601020212,Fecal coliform,LA,64400000000.0,6.44E+10,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Savannah Harbor,SR 25 (old US Hwy 17) to Elba Island Cut,Savannah Harbor,GAR030601090318,Fecal coliform,LA,,200 x QLA(5),,Undetermined (3),2023,Table 1
segment,nonpoint,,,Savannah Harbor,SR 25 (old US Hwy 17) to Elba Island Cut,Savannah Harbor,GAR030601090318,enterococci,LA,,35 x QLA(5),,Undetermined (3),2023,Table 1
segment,nonpoint,,,Savannah River,Butler Creek to McBean Creek,Savannah River,GAR030601060615,E. coli,LA,36500000000000.0,3.65E+13,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Savannah River,Butler Creek to McBean Creek,Savannah River,GAR030601060615,Fecal coliform,LA,57900000000000.0,5.79E+13,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Scott Creek,Headwaters to Stekoa Creek,Scott Creek,GAR030601020211,E. coli,LA,97400000000.0,9.74E+10,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Scott Creek,Headwaters to Stekoa Creek,Scott Creek,GAR030601020211,Fecal coliform,LA,155000000000.0,1.55E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,Cox Lake to Scott Creek,Stekoa Creek,GAR030601020215,E. coli,LA,107000000000.0,1.07E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,Scott Creek to She Creek,Stekoa Creek,GAR030601020219,E. coli,LA,503000000000.0,5.03E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,She Creek to the Chattooga River,Stekoa Creek,GAR030601020220,E. coli,LA,386000000000.0,3.86E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,Cox Lake to Scott Creek,Stekoa Creek,GAR030601020215,Fecal coliform,LA,170000000000.0,1.70E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,Scott Creek to She Creek,Stekoa Creek,GAR030601020219,Fecal coliform,LA,799000000000.0,7.99E+11,,Undetermined (3),2023,Table 1
segment,nonpoint,,,Stekoa Creek,She Creek to the Chattooga River,Stekoa Creek,GAR030601020220,Fecal coliform,LA,613000000000.0,6.13E+11,,Undetermined (3),2023,Table 1
facility,point,Grovetown WPCP (City of Grovetown),GA0050246,Butler Creek,Butler Creek GAR030601060601 Savannah River GAR030601060615,Butler Creek GAR030601060601 Savannah River GAR030601060615,GAR030601060601;GAR030601060615,E. coli,WLA,22100000000.0,2.21E+10,126.0,,2023,Table 16
facility,point,Grovetown WPCP (City of Grovetown),GA0050246,Butler Creek,Butler Creek GAR030601060601 Savannah River GAR030601060615,Butler Creek GAR030601060601 Savannah River GAR030601060615,GAR030601060601;GAR030601060615,Fecal coliform,WLA,35100000000.0,3.51E+10,200.0,,2023,Table 16
facility,point,J.B. Messerly WPCP (City of Augusta),GA0037621,Butler Creek,Butler Creek GAR030601060601 Savannah River GAR030601060615,Butler Creek GAR030601060601 Savannah River GAR030601060615,GAR030601060601;GAR030601060615,E. coli,WLA,340000000000.0,3.40E+11,126.0,,2023,Table 16
