site_label,site_id,reach,year,activity_count,result_count
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1956,2,56
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1957,2,35
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1958,7,143
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1959,1,28
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1961,1,28
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1969,2,30
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1970,8,123
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1971,8,137
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1972,17,185
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1973,12,126
Calhoun Falls,USGS-02189000,Upper mainstem near Calhoun Falls,1974,3,63
Augusta Intake,USGS-02196560,Augusta river intake reach,1970,1,7
US 1 Augusta,USGS-02196671,Augusta urban mainstem reach,1997,17,319
US 1 Augusta,USGS-02196671,Augusta urban mainstem reach,1998,1,21
