source_id,title,url,domain,category,priority,dataset_signal,academic_signal,official_signal,evidence_count,validation_status,validation_score,manual_validation_required,target_intent,search_profiles,research_tracks
pplx-src-001,análise do uso e ocupação e dinâmica hidrossedimentológica do ...,https://www.editorarealize.com.br/editora/anais/enanpege/2021/TRABALHO_COMPLETO_EV154_MD1_SA126_ID209119112021235412.pdf,editorarealize.com.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-002,"expansão urbana por meio de ocupações irregulares têm afetado a área da bacia, contribuindo para a diminuição de sua qualidade ambiental. Portanto, o fator preponderante dessa problematização são as ações antrópicas, cujos aspectos subjetivos residem na percepção ambiental da população. O objetivo da presente pesquisa é estudar a relação entre a percepção ambiental dos moradores e a qualidade ambiental da bacia. A pesquisa divide-se em três fases: qualidade de água, uso e ocupação do solo, e per",https://docs.ufpr.br/~bleninger/dissertacoes/155-Luiz_Vasconcelos_da_Silva_Filho.pdf,docs.ufpr.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-003,Impacto das ações antrópicas e do clima no uso e ocupação do solo na Bacia Hidrográfica do Rio Pajeú,https://repositorio.ufpe.br/handle/123456789/26802,repositorio.ufpe.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-004,impacto das ações antrópicas e do uso do solo na qualidade da água na bacia do rio Tietê,https://repositorio.ufpe.br/bitstream/123456789/26802/1/DISSERTA%C3%87%C3%83O%20Luciana%20Mayla%20de%20Aquino%20Fran%C3%A7a.pdf,repositorio.ufpe.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-005,"impactos das atividades antrópicas na qualidade da água e dinâmica hidrológica da bacia do rio Areal, Taubaté-SP",https://ipabhi.org/repositorio/index.php/rca/article/download/138/166,ipabhi.org,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-006,Planejamento sustentável aplicado ao eixo do rio Tietê - SBE16,https://sbe16.civil.uminho.pt/app/wp-content/uploads/2016/09/SBE16-Brazil-Portugal-Vol_3-Pag_1521.pdf,sbe16.civil.uminho.pt,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-007,Proposta para acelerar a despoluição dos rios e reservatórios da Bacia do Alto Tietê,https://saneamentobasico.com.br/wp-content/uploads/2019/06/Proposta-para-despolui%C3%A7%C3%A3o-rios-da-RMSP-R17.pdf,saneamentobasico.com.br,institutional_report,medium,False,False,False,12,adjusted,0.53,True,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-008,"RESUMO A alteração no uso e ocupação do solo, bem como a implantação de barragens para uso hidrelétrico, têm afetado a produção de sedimentos nas vertentes e disponibilidade destes nos rios do Centro-Oeste do Brasil nas últimas décadas.",https://repositorio.unifesp.br/server/api/core/bitstreams/94b9f191-6549-480b-a771-e52824216c2b/content,repositorio.unifesp.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-009,"Revista de Geografia (Recife) V. 38, No. 2, 2021",https://pdfs.semanticscholar.org/9c64/8e494d7f4ab3c5de1f74c6a1812a07346335.pdf,pdfs.semanticscholar.org,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-010,Avaliação integrada da bacia da represa Taiaçupeba e fatores que influenciam a qualidade da água na Região Metropolitana de São Paulo,https://abes-dn.org.br/anaiseletronicos/33cbesa/261_tema_iv.pdf,abes-dn.org.br,academic_source,medium,False,True,False,11,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
